





#######################################
# Starting new log
# Date      : 2018-01-10 13:49:51.994 
# ThreadIDs : NO
# LogLevel  : FAL:INFO
#######################################
2018-01-10 13:50:28.807 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:28.807 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:28.809 INF:FAL cmd/SetLNA.cpp:110:_updateScanDefConcrete:  Setting LNA gain to 18.5
2018-01-10 13:50:28.809 INF:FAL cmd/SetLNA.cpp:112:_updateScanDefConcrete:  Setting LNA input impedance to 200
2018-01-10 13:50:28.809 INF:FAL cmd/SetAAF.cpp:29:_updateScanDefConcrete:  Setting AAF freq to 1.5e+07
2018-01-10 13:50:28.809 INF:FAL RXtoBFHW.cc:1013:computeSamplesPerBeam:  sfid = 577, spb = 3120.88
2018-01-10 13:50:28.809 INF:FAL cmd/SetDecimFiltBypass.cpp:40:_updateScanDefConcrete:  Setting DecimFilt bypass to 1
2018-01-10 13:50:28.809 INF:FAL RXtoBFHW.cc:1013:computeSamplesPerBeam:  sfid = 577, spb = 3117.88
2018-01-10 13:50:28.809 INF:FAL cmd/ScanCommand.cpp:2015:_calculateTimeSlots:  longest_end_depth  = 0
2018-01-10 13:50:28.809 INF:FAL cmd/ScanCommand.cpp:2016:_calculateTimeSlots:  max_pri_cyc        = 0
2018-01-10 13:50:28.809 INF:FAL cmd/ScanCommand.cpp:2017:_calculateTimeSlots:  longest_run_length = 512
2018-01-10 13:50:28.809 INF:FAL cmd/ScanCommand.cpp:2060:_calculateTimeSlots:  Max Parallel PRF Beams = 1
2018-01-10 13:50:28.810 INF:FAL cmd/SetDecimFiltDecimation.cpp:59:_updateScanDefConcrete:  Setting DecimFilt decimation to 1
2018-01-10 13:50:28.810 INF:FAL cmd/SetTimeout.cpp:15:_updateScanDefConcrete:  Setting Timeout to 500 setting enable timeout to 1
2018-01-10 13:50:28.811 INF:FAL cmd/SetHPF.cpp:24:_updateScanDefConcrete:  Setting HPF freq to 898000
2018-01-10 13:50:28.811 INF:FAL cmd/SetHPF.cpp:27:_updateScanDefConcrete:  Setting HPF bypass to 0
2018-01-10 13:50:28.811 INF:FAL USEngine.cpp:107:setScanDef:  setScanDef
2018-01-10 13:50:28.811 INF:FAL USEngine.cpp:139:setScanDef:  Using probe-based initialization...
2018-01-10 13:50:28.828 INF:FAL PlatformImplA2.cpp:967:resetHW:  resetHW...
2018-01-10 13:50:28.828 INF:FAL PlatformImplA2.cpp:996:_resetDiscreteComponents:  Resetting ADCs...
2018-01-10 13:50:28.830 INF:FAL PlatformImplA2.cpp:1028:_initTransports:  Initializing all transports...
2018-01-10 13:50:28.833 INF:FAL USEngine.cpp:1133:_initialize:  initial programming unit #2 (master)
2018-01-10 13:50:28.833 INF:FAL USEngine.cpp:1703:_calibrateTransfers:  calibrate transfers
2018-01-10 13:50:28.877 INF:FAL US_USMidProc.cpp:571:_programWFCoeffs:  Bypassing 3rd IIR
2018-01-10 13:50:28.877 INF:FAL US_USMidProc.cpp:581:_programWFCoeffs:  Bypassing 4th IIR
2018-01-10 13:50:28.878 INF:FAL US_USMidProc.cpp:146:_program:  Programming US MidProc Wall Filter Control to 4301
2018-01-10 13:50:28.878 INF:FAL US_USMidProc.cpp:173:_program:  Changing CFM dir
2018-01-10 13:50:29.952 INF:FAL USEngine.cpp:308:run:  run
2018-01-10 13:50:31.952 INF:FAL cmd/GetTransmitVoltage.cpp:36:_updateFrameDefConcrete:  updateFrameDef - retrieving TransmitVoltage :6
2018-01-10 13:50:31.952 INF:FAL USEngine.cpp:264:start:  start
2018-01-10 13:50:31.953 INF:FAL USEngine.cpp:1008:_start:  starting unit #2 (master)
2018-01-10 13:50:47.575 INF:FAL USEngine.cpp:215:stop:  stop
2018-01-10 13:50:47.576 INF:FAL USEngine.cpp:1215:_stopHW:  stopping HW on unit #2 (master)
2018-01-10 13:50:52.173 INF:FAL USEngine.cpp:177:tearDown:  tearDown
2018-01-10 13:50:52.173 INF:FAL USEngine.cpp:991:_tearDown:  tearing down unit #2 (master)
